Pick,Round,First Name,Last Name,Position,College,Height,Weight,Jersey,Draft Grade,Home State,Recruiting Stars,Recruiting Rating,National Ranking,Class Year,Freshman Year
230.0,7.0,Shamarius,Peterkin,WR,Virginia Tech,74.0,172.0,,71,NC,4.0,0.9011,332.0,1,2025.0
231.0,7.0,Hollis,Davidson III,TE,Auburn,77.0,238.0,,71,GA,4.0,0.9013,330.0,1,2025.0
232.0,7.0,Dayshaun,Burnett,EDGE,Penn State,74.0,215.0,,71,PA,4.0,0.9,347.0,1,2025.0
233.0,7.0,Jae'on,Young,CB,California,71.0,167.0,,71,CA,4.0,0.8928,432.0,1,2025.0
234.0,7.0,Kendarius,Reddick,S,USC,71.0,170.0,,71,GA,4.0,0.9027,317.0,1,2025.0
235.0,7.0,Shamar,Arnoux,CB,Florida State,74.0,175.0,,71,GA,4.0,0.8932,429.0,1,2025.0
236.0,7.0,Chastan,Brown,OT,Florida State,79.0,270.0,,71,GA,4.0,0.8916,459.0,1,2025.0
237.0,7.0,Ed,Small,WR,TCU,71.0,205.0,,71,TX,4.0,0.8911,462.0,1,2025.0
238.0,7.0,Andrew,Olesh,TE,Penn State,76.0,215.0,,71,PA,4.0,0.9702,57.0,1,2025.0
239.0,7.0,Christian,Ingram,DL,South Carolina,78.0,290.0,,71,GA,4.0,0.8925,438.0,1,2025.0
240.0,7.0,Darrin,Strey,OT,Kentucky,79.0,300.0,,71,MI,4.0,0.8921,448.0,1,2025.0
241.0,7.0,Kalen,Edwards,DL,Kentucky,76.0,315.0,,71,TN,4.0,0.8925,438.0,1,2025.0
242.0,7.0,Juan,Gaston,OT,Georgia,79.0,365.0,,71,GA,4.0,0.974,52.0,1,2025.0
243.0,7.0,Drake,Stubbs,S,Florida,73.0,190.0,,71,FL,4.0,0.9723,54.0,1,2025.0
244.0,7.0,Micah,Matthews,ATH,Virginia Tech,74.0,205.0,,71,VA,4.0,0.8908,466.0,1,2025.0
245.0,7.0,Bryson,Webber,CB,Nebraska,74.0,175.0,,71,TX,4.0,0.8927,434.0,1,2025.0
246.0,7.0,Samari,Reed,WR,Ole Miss,74.0,185.0,,71,FL,4.0,0.8926,435.0,1,2025.0
247.0,7.0,Jaquel,Holman,ATH,South Carolina,73.0,193.0,,71,SC,4.0,0.8905,471.0,1,2025.0
248.0,7.0,Ta'Khyian,Whitset,OT,NC State,77.0,265.0,,71,TN,4.0,0.8911,465.0,1,2025.0
249.0,7.0,Weston,Bryan,ATH,Georgia Southern,75.0,240.0,,71,GA,4.0,0.8911,464.0,1,2025.0
250.0,7.0,Lyrick,Samuel,WR,Penn State,75.0,180.0,,71,NY,4.0,0.8948,411.0,1,2025.0
251.0,7.0,Nick,Townsend,TE,Texas,75.0,235.0,,71,TX,4.0,0.9539,90.0,1,2025.0
252.0,7.0,Jeff,Exinor Jr.,TE,Penn State,74.0,220.0,,71,MD,4.0,0.9004,342.0,1,2025.0
253.0,7.0,Nic,Moore,IOL,Tennessee,74.0,300.0,,70,TN,4.0,0.9118,260.0,1,2025.0
254.0,7.0,Martels,Carter Jr.,S,Kentucky,72.0,190.0,,70,KY,4.0,0.9123,259.0,1,2025.0
255.0,7.0,Byron,Baldwin Jr.,S,Indiana,73.0,190.0,,70,MD,4.0,0.9124,258.0,1,2025.0
256.0,7.0,Chris,Lawson,WR,Washington,73.0,175.0,,70,CA,4.0,0.8973,380.0,1,2025.0
257.0,7.0,Cobey,Sellers,CB,Texas A&M,71.0,175.0,,70,TX,4.0,0.9127,255.0,1,2025.0
258.0,7.0,Javeon,Campbell,DL,Kentucky,77.0,265.0,,70,KY,4.0,0.9092,276.0,1,2025.0
259.0,7.0,Marcus,Garcia,OT,Texas A&M,77.0,270.0,,70,TX,4.0,0.9097,274.0,1,2025.0
260.0,7.0,Logan,Anderson,LB,Clemson,74.0,218.0,,70,AL,4.0,0.9115,262.0,1,2025.0
