Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,First_Name,Last_Name,Team_Norm,Stat_Type,Roster_Index,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Y/G,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Rushing_Y/G,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Avg,Scrimmage_TD
385.0,Javonnie Gibson,Oklahoma,SEC,5.0,1.0,1.0,100.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,1.6,167.2,,javonnie,gibson,oklahoma,Passing,11464,,,,,,,,,,,,,,
386.0,Jeremy Hecklinski,Iowa,Big Ten,2.0,2.0,2.0,100.0,8.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,133.6,,jeremy,hecklinski,iowa,Passing,7519,,,,,,,,,,,,,,
387.0,Shay Smith,UTEP,CUSA,8.0,2.0,6.0,33.3,8.0,0.0,0.0,0.0,0.0,1.3,1.33,4.0,1.0,44.5,,shay,smith,utep,Passing,15064,,,,,,,,,,,,,,
388.0,Treyson Bourguet,BYU,Big 12,1.0,1.0,2.0,50.0,8.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,8.0,83.6,,treyson,bourguet,brigham young,Passing,5012,,,,,,,,,,,,,,
389.0,Dylan Wittke,Minnesota,Big Ten,1.0,1.0,3.0,33.3,7.0,0.0,0.0,1.0,33.3,2.3,-12.67,7.0,7.0,-13.7,,dylan,wittke,minnesota,Passing,9800,,,,,,,,,,,,,,
390.0,Josh Flowers,Arkansas State,Sun Belt,2.0,1.0,3.0,33.3,7.0,0.0,0.0,0.0,0.0,2.3,2.33,7.0,3.5,52.9,,josh,flowers,arkansas state,Passing,4039,,,,,,,,,,,,,,
391.0,"Karle ""KJ"" Lacey Jr.",Texas,SEC,1.0,1.0,1.0,100.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,158.8,,karle,"""kj"" lacey",texas,Passing,,,,,,,,,,,,,,,
392.0,Ryan Boe,Northwestern,Big Ten,4.0,1.0,2.0,50.0,7.0,0.0,0.0,0.0,0.0,3.5,3.5,7.0,1.8,79.4,,ryan,boe,northwestern,Passing,11139,,,,,,,,,,,,,,
393.0,Landon Rehkow,Utah State,MWC,8.0,1.0,1.0,100.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.8,150.4,,landon,rehkow,utah state,Passing,14963,,,,,,,,,,,,,,
394.0,Whitt Newbauer,Oklahoma,SEC,3.0,2.0,4.0,50.0,6.0,0.0,0.0,0.0,0.0,1.5,1.5,3.0,2.0,62.6,,whitt,newbauer,oklahoma,Passing,11450,,,,,,,,,,,,,,
395.0,Braden Streeter,Delaware,CUSA,2.0,1.0,2.0,50.0,5.0,0.0,0.0,1.0,50.0,2.5,-20.0,5.0,2.5,-29.0,,braden,streeter,delaware,Passing,,,,,,,,,,,,,,,
396.0,Cade Backe,Jacksonville State,CUSA,7.0,1.0,1.0,100.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.7,142.0,,cade,backe,jacksonville state,Passing,7715,,,,,,,,,,,,,,
397.0,Grant Wilson,Indiana,Big Ten,3.0,1.0,1.0,100.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.7,142.0,,grant,wilson,indiana,Passing,7436,,,,,,,,,,,,,,
398.0,Jared Hollins,South Alabama,Sun Belt,2.0,2.0,2.0,100.0,5.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,121.0,,jared,hollins,south alabama,Passing,12876,,,,,,,,,,,,,,
399.0,Marshall Nichols,Georgia Tech,ACC,9.0,1.0,1.0,100.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.6,142.0,,marshall,nichols,georgia tech,Passing,7054,,,,,,,,,,,,,,
400.0,Roman Gagliano,Middle Tennessee State,CUSA,1.0,1.0,1.0,100.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,142.0,,roman,gagliano,middle tennessee state,Passing,9697,,,,,,,,,,,,,,
401.0,Banks Bowen,Oklahoma State,Big 12,2.0,3.0,5.0,60.0,4.0,0.0,0.0,0.0,0.0,0.8,0.8,1.3,2.0,66.7,,banks,bowen,oklahoma state,Passing,11536,,,,,,,,,,,,,,
402.0,Germie Bernard,Alabama,SEC,8.0,1.0,1.0,100.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.5,133.6,,germie,bernard,alabama,Passing,32,,,,,,,,,,,,,,
403.0,Randy Pittman Jr.,Florida State,ACC,5.0,1.0,1.0,100.0,4.0,1.0,100.0,0.0,0.0,4.0,24.0,4.0,0.8,463.6,,randy,pittman,florida state,Passing,6579,,,,,,,,,,,,,,
404.0,Tristan Ti'a,Oregon State,Ind,1.0,1.0,1.0,100.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,133.6,,tristan,ti'a,oregon state,Passing,11901,,,,,,,,,,,,,,
405.0,Hank Beatty,Illinois,Big Ten,9.0,1.0,1.0,100.0,3.0,1.0,100.0,0.0,0.0,3.0,23.0,3.0,0.3,455.2,,hank,beatty,illinois,Passing,7366,,,,,,,,,,,,,,
406.0,Patrick Crayton Jr.,Rice,American,2.0,3.0,6.0,50.0,3.0,0.0,0.0,1.0,16.7,0.5,-7.0,1.0,1.5,20.9,,patrick,crayton,rice,Passing,12264,,,,,,,,,,,,,,
407.0,Adam Damante,New Mexico State,CUSA,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,adam,damante,new mexico state,Passing,10619,,,,,,,,,,,,,,
408.0,Adrian Norton,Marshall,Sun Belt,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,adrian,norton,marshall,Passing,8991,,,,,,,,,,,,,,
409.0,Aiden Leffler,Ball State,MAC,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,aiden,leffler,ball state,Passing,4407,,,,,,,,,,,,,,
410.0,AJ Jones,Middle Tennessee State,CUSA,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,aj,jones,middle tennessee state,Passing,9728,,,,,,,,,,,,,,
411.0,Arrington Maiden,Memphis,American,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,arrington,maiden,memphis,Passing,9256,,,,,,,,,,,,,,
412.0,Au'Tori Newkirk,North Carolina,ACC,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,-45.0,,0.0,-200.0,,au'tori,newkirk,north carolina,Passing,10715,,,,,,,,,,,,,,
413.0,Brady Hart,Texas A&M,SEC,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,brady,hart,texas a&m,Passing,13703,,,,,,,,,,,,,,
414.0,Cade Cunningham,Jacksonville State,CUSA,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,cade,cunningham,jacksonville state,Passing,7718,,,,,,,,,,,,,,
415.0,Cam Vaughn,West Virginia,Big 12,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,cam,vaughn,west virginia,Passing,2215,,,,,,,,,,,,,,
416.0,Carson Cruver,Florida Atlantic,American,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,carson,cruver,florida atlantic,Passing,6379,,,,,,,,,,,,,,
417.0,Carter Holden,Miami (OH),MAC,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,-45.0,,0.0,-200.0,,carter,holden,miami (oh),Passing,9400,,,,,,,,,,,,,,
418.0,C.J. Smith,Memphis,American,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,-45.0,,0.0,-200.0,,c.j.,smith,memphis,Passing,9285,,,,,,,,,,,,,,
419.0,Connor Moberly,Iowa State,Big 12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,connor,moberly,iowa state,Passing,7626,,,,,,,,,,,,,,
420.0,Dillon Bell,Georgia,SEC,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,dillon,bell,georgia,Passing,27,,,,,,,,,,,,,,
421.0,Dominiq Ponder,Colorado,Big 12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,dominiq,ponder,colorado,Passing,5682,,,,,,,,,,,,,,
422.0,Donaven McCulley,Michigan,Big Ten,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,donaven,mcculley,michigan,Passing,9523,,,,,,,,,,,,,,
423.0,Eric Singleton Jr.,Auburn,SEC,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,eric,singleton,auburn,Passing,634,,,,,,,,,,,,,,
424.0,Evan Svoboda,Wyoming,MWC,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,-45.0,,0.0,-200.0,,evan,svoboda,wyoming,Passing,16313,,,,,,,,,,,,,,
425.0,Frank Covey IV,Northwestern,Big Ten,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,frank,covey,northwestern,Passing,,,,,,,,,,,,,,,
426.0,Gavin Freeman,Oklahoma State,Big 12,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,gavin,freeman,oklahoma state,Passing,11563,,,,,,,,,,,,,,
427.0,Grady Gross,Washington,Big Ten,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,grady,gross,washington,Passing,15641,,,,,,,,,,,,,,
428.0,Holden Geriner,Texas State,Sun Belt,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,holden,geriner,texas state,Passing,13895,,,,,,,,,,,,,,
429.0,Isaac Wilson,Utah,Big 12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,isaac,wilson,utah,Passing,1060,,,,,,,,,,,,,,
430.0,Isaiah Alston,James Madison,Sun Belt,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,isaiah,alston,james madison,Passing,7864,,,,,,,,,,,,,,
431.0,Jadyn Davis,Michigan,Big Ten,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,-22.5,,0.0,-100.0,,jadyn,davis,michigan,Passing,944,,,,,,,,,,,,,,
432.0,Jarris Williams,Troy,Sun Belt,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,jarris,williams,troy,Passing,14198,,,,,,,,,,,,,,
433.0,Javin Whatley,Arizona,Big 12,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,-45.0,,0.0,-200.0,,javin,whatley,arizona,Passing,3782,,,,,,,,,,,,,,
434.0,Jaylen King,Florida State,ACC,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,jaylen,king,florida state,Passing,6573,,,,,,,,,,,,,,
435.0,JC Evans,James Madison,Sun Belt,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,jc,evans,james madison,Passing,7838,,,,,,,,,,,,,,
436.0,JoJo Stone,Florida International,CUSA,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,jojo,stone,florida international,Passing,6508,,,,,,,,,,,,,,
437.0,Jordan Napier,San Diego State,MWC,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,jordan,napier,san diego state,Passing,12607,,,,,,,,,,,,,,
438.0,Joseph Williams,Colorado,Big 12,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,joseph,williams,colorado,Passing,5697,,,,,,,,,,,,,,
439.0,Julian Dugger,Washington State,Ind,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,julian,dugger,washington state,Passing,15776,,,,,,,,,,,,,,
440.0,Kendrick Law,Kentucky,SEC,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,kendrick,law,kentucky,Passing,207,,,,,,,,,,,,,,
441.0,Ksaan Farrar,Connecticut,Ind,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,ksaan,farrar,connecticut,Passing,5886,,,,,,,,,,,,,,
442.0,Liam Clifford,Penn State,Big Ten,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,liam,clifford,penn state,Passing,11995,,,,,,,,,,,,,,
443.0,Linkon Cure,Kansas State,Big 12,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,-45.0,,0.0,-200.0,,linkon,cure,kansas state,Passing,1321,,,,,,,,,,,,,,
444.0,Lynel Billups-Williams,Miami (OH),MAC,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,lynel,billups-williams,miami (oh),Passing,9454,,,,,,,,,,,,,,
445.0,Marcus Bellon,Nevada,MWC,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,marcus,bellon,nevada,Passing,10349,,,,,,,,,,,,,,
446.0,Mark Konecny,Western Michigan,MAC,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,mark,konecny,western michigan,Passing,16097,,,,,,,,,,,,,,
447.0,Micah Ford,Stanford,ACC,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,micah,ford,stanford,Passing,13274,,,,,,,,,,,,,,
448.0,Michael Valentino,Florida Atlantic,American,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,michael,valentino,florida atlantic,Passing,6380,,,,,,,,,,,,,,
449.0,Mikey Matthews,UCLA,Big Ten,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,mikey,matthews,ucla,Passing,562,,,,,,,,,,,,,,
450.0,Nate Rogers,UAB,American,7.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,nate,rogers,alabama-birmingham,Passing,14508,,,,,,,,,,,,,,
451.0,Ofa Mataele,Western Michigan,MAC,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,ofa,mataele,western michigan,Passing,16101,,,,,,,,,,,,,,
452.0,Parker Kingston,BYU,Big 12,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,parker,kingston,brigham young,Passing,5038,,,,,,,,,,,,,,
453.0,Quin Smith,Air Force,MWC,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,quin,smith,air force,Passing,3396,,,,,,,,,,,,,,
454.0,Rara Thomas,Troy,Sun Belt,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,-45.0,,0.0,-200.0,,rara,thomas,troy,Passing,353,,,,,,,,,,,,,,
455.0,Romello Brinson,SMU,ACC,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,romello,brinson,southern methodist,Passing,42,,,,,,,,,,,,,,
456.0,Ryan Wingo,Texas,SEC,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,ryan,wingo,texas,Passing,1061,,,,,,,,,,,,,,
457.0,Sean Brown,Duke,ACC,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,sean,brown,duke,Passing,48,,,,,,,,,,,,,,
458.0,Sebastian Brown,Kent State,MAC,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,-45.0,,0.0,-200.0,,sebastian,brown,kent state,Passing,8246,,,,,,,,,,,,,,
459.0,Semaj Morgan,Michigan,Big Ten,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,semaj,morgan,michigan,Passing,749,,,,,,,,,,,,,,
460.0,Steele Pizzella,Wake Forest,ACC,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,steele,pizzella,wake forest,Passing,15585,,,,,,,,,,,,,,
461.0,Suderian Harrison,Virginia,ACC,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,suderian,harrison,virginia,Passing,15421,,,,,,,,,,,,,,
462.0,Tahj Bullock,Colorado State,MWC,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,tahj,bullock,colorado state,Passing,5782,,,,,,,,,,,,,,
463.0,Tavien St. Clair,Ohio State,Big Ten,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,tavien,st. clair,ohio state,Passing,11376,,,,,,,,,,,,,,
464.0,Terry Lockett Jr.,Eastern Michigan,MAC,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,terry,lockett,eastern michigan,Passing,7796,,,,,,,,,,,,,,
465.0,Tommy Lock,Missouri,SEC,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,tommy,lock,missouri,Passing,9971,,,,,,,,,,,,,,
466.0,Trever Jackson,Arkansas,SEC,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,trever,jackson,arkansas,Passing,3940,,,,,,,,,,,,,,
467.0,Tucker Parks,Western Kentucky,CUSA,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,tucker,parks,western kentucky,Passing,16002,,,,,,,,,,,,,,
468.0,Tyrell Henry,Wisconsin,Big Ten,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,tyrell,henry,wisconsin,Passing,16211,,,,,,,,,,,,,,
469.0,William Watson III,Virginia Tech,ACC,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,william,watson,virginia tech,Passing,15482,,,,,,,,,,,,,,
470.0,Wondame Davis Jr.,UTEP,CUSA,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,wondame,davis,utep,Passing,15095,,,,,,,,,,,,,,
471.0,John White,Southern Mississippi,Sun Belt,1.0,1.0,1.0,100.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,91.6,,john,white,southern mississippi,Passing,13180,,,,,,,,,,,,,,
472.0,Daylan Smothers,North Carolina State,ACC,8.0,1.0,1.0,100.0,-4.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.0,-0.5,66.4,,daylan,smothers,north carolina state,Passing,10833,,,,,,,,,,,,,,
473.0,Luke Watkins,Louisiana Tech,CUSA,5.0,1.0,1.0,100.0,-5.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,-1.0,58.0,,luke,watkins,louisiana tech,Passing,8645,,,,,,,,,,,,,,
,League Average,,,,,,63.0,,,5.3,,2.4,7.4,7.4,11.8,100.0,138.0,,league,average,,Passing,,,,,,,,,,,,,,,
1.0,Danny Scudero,San Jose State,MWC,8.0,,,,,,,,,,,,,,,danny,scudero,san jose state,Receiving,12706,63.0,1085.0,17.2,10.0,135.6,0.0,0.0,,0.0,0.0,63.0,1085.0,17.2,10.0
2.0,Skyler Bell,Connecticut,Ind,9.0,,,,,,,,,,,,,,,skyler,bell,connecticut,Receiving,26,74.0,994.0,13.4,11.0,110.4,2.0,-2.0,-1.0,0.0,-0.2,76.0,992.0,13.1,11.0
3.0,KJ Duff,Rutgers,Big Ten,9.0,,,,,,,,,,,,,,,kj,duff,rutgers,Receiving,1772,51.0,854.0,16.7,6.0,94.9,0.0,0.0,,0.0,0.0,51.0,854.0,16.7,6.0
4.0,Chase Hendricks,Ohio,MAC,9.0,,,,,,,,,,,,,,,chase,hendricks,ohio,Receiving,11320,60.0,845.0,14.1,6.0,93.9,0.0,0.0,,0.0,0.0,60.0,845.0,14.1,6.0
5.0,Chris Brazzell II,Tennessee,SEC,9.0,,,,,,,,,,,,,,,chris,brazzell,tennessee,Receiving,1584,49.0,808.0,16.5,8.0,89.8,0.0,0.0,,0.0,0.0,49.0,808.0,16.5,8.0
6.0,Makai Lemon,USC,Big Ten,8.0,,,,,,,,,,,,,,,makai,lemon,southern california,Receiving,545,50.0,776.0,15.5,6.0,97.0,3.0,-2.0,-0.7,1.0,-0.3,53.0,774.0,14.6,7.0
7.0,Cooper Barkate,Duke,ACC,8.0,,,,,,,,,,,,,,,cooper,barkate,duke,Receiving,5995,45.0,774.0,17.2,5.0,96.8,0.0,0.0,,0.0,0.0,45.0,774.0,17.2,5.0
8.0,Chris Bell,Louisville,ACC,8.0,,,,,,,,,,,,,,,chris,bell,louisville,Receiving,25,56.0,743.0,13.3,6.0,92.9,0.0,0.0,,0.0,0.0,56.0,743.0,13.3,6.0
9.0,Beau Sparks,Texas State,Sun Belt,8.0,,,,,,,,,,,,,,,beau,sparks,texas state,Receiving,13921,51.0,741.0,14.5,6.0,92.6,3.0,23.0,7.7,0.0,2.9,54.0,764.0,14.1,6.0
10.0,Hank Beatty,Illinois,Big Ten,9.0,,,,,,,,,,,,,,,hank,beatty,illinois,Receiving,7366,49.0,730.0,14.9,3.0,81.1,3.0,41.0,13.7,1.0,4.6,52.0,771.0,14.8,4.0
11.0,Eric McAlister,Texas Christian,Big 12,8.0,,,,,,,,,,,,,,,eric,mcalister,texas christian,Receiving,227,37.0,727.0,19.6,8.0,90.9,0.0,0.0,,0.0,0.0,37.0,727.0,19.6,8.0
12.0,Jeremiah Smith,Ohio State,Big Ten,8.0,,,,,,,,,,,,,,,jeremiah,smith,ohio state,Receiving,1032,55.0,725.0,13.2,9.0,90.6,2.0,20.0,10.0,1.0,2.5,57.0,745.0,13.1,10.0
13.0,Brenen Thompson,Mississippi State,SEC,9.0,,,,,,,,,,,,,,,brenen,thompson,mississippi state,Receiving,9912,41.0,716.0,17.5,6.0,79.6,3.0,9.0,3.0,1.0,1.0,44.0,725.0,16.5,7.0
14.0,Mario Craver,Texas A&M,SEC,8.0,,,,,,,,,,,,,,,mario,craver,texas a&m,Receiving,1760,40.0,716.0,17.9,4.0,89.5,6.0,65.0,10.8,1.0,8.1,46.0,781.0,17.0,5.0
15.0,Carnell Tate,Ohio State,Big Ten,8.0,,,,,,,,,,,,,,,carnell,tate,ohio state,Receiving,649,39.0,711.0,18.2,7.0,88.9,2.0,16.0,8.0,0.0,2.0,41.0,727.0,17.7,7.0
16.0,Junior Vandeross III,Toledo,MAC,9.0,,,,,,,,,,,,,,,junior,vandeross,toledo,Receiving,14112,58.0,705.0,12.2,9.0,78.3,2.0,5.0,2.5,0.0,0.6,60.0,710.0,11.8,9.0
17.0,Braylon Staley,Tennessee,SEC,9.0,,,,,,,,,,,,,,,braylon,staley,tennessee,Receiving,1287,52.0,703.0,13.5,5.0,78.1,0.0,0.0,,0.0,0.0,52.0,703.0,13.5,5.0
18.0,Isaiah Sategna,Oklahoma,SEC,9.0,,,,,,,,,,,,,,,isaiah,sategna,oklahoma,Receiving,1937,49.0,692.0,14.1,5.0,76.9,2.0,4.0,2.0,0.0,0.4,51.0,696.0,13.6,5.0
19.0,Duce Robinson,Florida State,ACC,8.0,,,,,,,,,,,,,,,duce,robinson,florida state,Receiving,614,34.0,689.0,20.3,4.0,86.1,0.0,0.0,,0.0,0.0,34.0,689.0,20.3,4.0
20.0,Ted Hurst,Georgia State,Sun Belt,8.0,,,,,,,,,,,,,,,ted,hurst,georgia state,Receiving,6982,47.0,689.0,14.7,5.0,86.1,0.0,0.0,,0.0,0.0,47.0,689.0,14.7,5.0
21.0,Omar Cooper Jr.,Indiana,Big Ten,9.0,,,,,,,,,,,,,,,omar,cooper,indiana,Receiving,457,46.0,669.0,14.5,8.0,74.3,3.0,74.0,24.7,1.0,8.2,49.0,743.0,15.2,9.0
22.0,Denzel Boston,Washington,Big Ten,8.0,,,,,,,,,,,,,,,denzel,boston,washington,Receiving,426,44.0,668.0,15.2,7.0,83.5,0.0,0.0,,0.0,0.0,44.0,668.0,15.2,7.0
23.0,O'Mega Blake,Arkansas,SEC,9.0,,,,,,,,,,,,,,,o'mega,blake,arkansas,Receiving,3954,50.0,661.0,13.2,4.0,73.4,0.0,0.0,,0.0,0.0,50.0,661.0,13.2,4.0
24.0,Kamryn Perry,Miami (OH),MAC,9.0,,,,,,,,,,,,,,,kamryn,perry,miami (oh),Receiving,9457,25.0,657.0,26.3,4.0,73.0,0.0,0.0,,0.0,0.0,25.0,657.0,26.3,4.0
25.0,Braden Pegan,Utah State,MWC,8.0,,,,,,,,,,,,,,,braden,pegan,utah state,Receiving,14989,39.0,654.0,16.8,5.0,81.8,2.0,0.0,0.0,1.0,0.0,41.0,654.0,16.0,6.0
26.0,Devin Voisin,South Alabama,Sun Belt,9.0,,,,,,,,,,,,,,,devin,voisin,south alabama,Receiving,12913,50.0,654.0,13.1,4.0,72.7,0.0,0.0,,0.0,0.0,50.0,654.0,13.1,4.0
27.0,Anthony Evans III,Mississippi State,SEC,9.0,,,,,,,,,,,,,,,anthony,evans,mississippi state,Receiving,470,52.0,653.0,12.6,4.0,72.6,5.0,39.0,7.8,0.0,4.3,57.0,692.0,12.1,4.0
28.0,Ryan Davis,Utah,Big 12,9.0,,,,,,,,,,,,,,,ryan,davis,utah,Receiving,14885,56.0,650.0,11.6,4.0,72.2,0.0,0.0,,0.0,0.0,56.0,650.0,11.6,4.0
29.0,Camden Brown,Georgia Southern,Sun Belt,8.0,,,,,,,,,,,,,,,camden,brown,georgia southern,Receiving,6867,40.0,642.0,16.1,9.0,80.3,0.0,0.0,,0.0,0.0,40.0,642.0,16.1,9.0
30.0,Lewis Bond,Boston College,ACC,9.0,,,,,,,,,,,,,,,lewis,bond,boston,Receiving,4723,64.0,639.0,10.0,1.0,71.0,4.0,3.0,0.8,0.0,0.3,68.0,642.0,9.4,1.0
31.0,Mike Matthews,Tennessee,SEC,9.0,,,,,,,,,,,,,,,mike,matthews,tennessee,Receiving,993,38.0,638.0,16.8,4.0,70.9,1.0,12.0,12.0,0.0,1.3,39.0,650.0,16.7,4.0
32.0,Wyatt Young,North Texas,American,9.0,,,,,,,,,,,,,,,wyatt,young,north texas,Receiving,10945,40.0,638.0,16.0,7.0,70.9,2.0,17.0,8.5,1.0,1.9,42.0,655.0,15.6,8.0
