2025-11-05 14:36:18 - Starting Chrome browser...
2025-11-05 14:36:20 - 
Processing 1970...
2025-11-05 14:36:20 -   Scraping: crd 1970...
2025-11-05 15:40:58 -   Scraping: den 1978...
2025-11-05 15:41:05 -     Found 52 players
2025-11-05 15:41:05 -   Scraping: det 1978...
2025-11-05 15:41:20 -     Found 62 players
2025-11-05 15:41:20 -   Scraping: gnb 1978...
2025-11-05 15:41:27 -     Found 52 players
2025-11-05 15:41:27 -   Scraping: oti 1978...
2025-11-05 15:41:40 -     Found 55 players
2025-11-05 15:41:40 -   Scraping: clt 1978...
2025-11-05 15:42:01 -     Found 52 players
2025-11-05 15:42:01 -   Scraping: jax 1978...
2025-11-05 15:42:14 -     No roster table found for jax 1978
2025-11-05 15:42:14 -   Scraping: kan 1978...
2025-11-05 15:42:31 -     Found 55 players
2025-11-05 15:42:31 -   Scraping: sdg 1978...
2025-11-05 15:42:38 -     Found 55 players
2025-11-05 15:42:38 -   Scraping: ram 1978...
2025-11-05 15:43:40 -     Found 55 players
2025-11-05 15:43:40 -   Scraping: rai 1978...
2025-11-05 15:43:48 -     Found 57 players
2025-11-05 15:43:48 -   Scraping: mia 1978...
2025-11-05 15:44:12 -     Found 53 players
2025-11-05 15:44:12 -   Scraping: min 1978...
2025-11-05 15:44:19 -     Found 52 players
2025-11-05 15:44:19 -   Scraping: nwe 1978...
2025-11-05 15:44:27 -     Found 58 players
2025-11-05 15:44:27 -   Scraping: nor 1978...
2025-11-05 15:44:35 -     Found 59 players
2025-11-05 15:44:35 -   Scraping: nyg 1978...
2025-11-05 15:44:45 -     Found 52 players
2025-11-05 15:44:45 -   Scraping: nyj 1978...
2025-11-05 15:44:55 -     Found 56 players
2025-11-05 15:44:55 -   Scraping: phi 1978...
2025-11-05 15:45:27 -     Found 57 players
2025-11-05 15:45:27 -   Scraping: pit 1978...
2025-11-05 15:45:36 -     Found 51 players
2025-11-05 15:45:36 -   Scraping: sfo 1978...
2025-11-05 15:45:46 -     Found 55 players
2025-11-05 15:45:46 -   Scraping: sea 1978...
2025-11-05 15:45:55 -     Found 51 players
2025-11-05 15:45:55 -   Scraping: tam 1978...
2025-11-05 15:46:05 -     Found 64 players
2025-11-05 15:46:05 -   Scraping: oti 1978...
2025-11-05 15:46:19 -     Found 55 players
2025-11-05 15:46:19 -   Scraping: was 1978...
2025-11-05 15:46:48 -     Found 55 players
2025-11-05 15:46:48 - 
Processing 1979...
2025-11-05 15:46:48 -   Scraping: crd 1979...
2025-11-05 15:46:58 -     Found 58 players
2025-11-05 15:46:58 -   Scraping: atl 1979...
2025-11-05 15:47:12 -     Found 53 players
2025-11-05 15:47:12 -   Scraping: rav 1979...
2025-11-05 15:47:25 -     No roster table found for rav 1979
2025-11-05 15:47:25 -   Scraping: bal 1979...
2025-11-05 15:47:39 -     No roster table found for bal 1979
2025-11-05 15:47:39 -   Scraping: buf 1979...
2025-11-05 15:48:08 -     Found 55 players
2025-11-05 15:48:08 -   Scraping: car 1979...
2025-11-05 15:48:22 -     No roster table found for car 1979
2025-11-05 15:48:22 -   Scraping: chi 1979...
2025-11-05 15:48:56 -     Found 56 players
2025-11-05 15:48:57 -   Scraping: cin 1979...
2025-11-05 15:49:04 -     Found 51 players
2025-11-05 15:49:04 -   Scraping: cle 1979...
2025-11-05 15:49:12 -     Found 50 players
2025-11-05 15:49:12 -   Scraping: dal 1979...
2025-11-05 15:49:26 -     Found 50 players
2025-11-05 15:49:26 -   Scraping: den 1979...
2025-11-05 15:49:34 -     Found 52 players
2025-11-05 15:49:34 -   Scraping: det 1979...
2025-11-05 15:49:54 -     Found 63 players
2025-11-05 15:49:54 -   Scraping: gnb 1979...
2025-11-05 15:50:02 -     Found 62 players
2025-11-05 15:50:02 -   Scraping: oti 1979...
2025-11-05 15:50:10 -     Found 57 players
2025-11-05 15:50:10 -   Scraping: clt 1979...
2025-11-05 15:50:28 -     Found 52 players
2025-11-05 15:50:28 -   Scraping: jax 1979...
2025-11-05 15:50:41 -     No roster table found for jax 1979
2025-11-05 15:50:41 -   Scraping: kan 1979...
2025-11-05 15:51:00 -     Found 56 players
2025-11-05 15:51:00 -   Scraping: sdg 1979...
2025-11-05 15:51:07 -     Found 53 players
2025-11-05 15:51:07 -   Scraping: ram 1979...
2025-11-05 15:51:15 -     Found 60 players
2025-11-05 15:51:15 -   Scraping: rai 1979...
2025-11-05 15:51:23 -     Found 56 players
2025-11-05 15:51:23 -   Scraping: mia 1979...
2025-11-05 15:51:29 -     Found 53 players
2025-11-05 15:51:29 -   Scraping: min 1979...
2025-11-05 15:51:37 -     Found 53 players
2025-11-05 15:51:37 -   Scraping: nwe 1979...
2025-11-05 15:51:46 -     Found 55 players
2025-11-05 15:51:46 -   Scraping: nor 1979...
2025-11-05 15:52:04 -     Found 53 players
2025-11-05 15:52:04 -   Scraping: nyg 1979...
2025-11-05 15:52:11 -     Found 64 players
2025-11-05 15:52:11 -   Scraping: nyj 1979...
2025-11-05 15:52:28 -     Found 58 players
2025-11-05 15:52:28 -   Scraping: phi 1979...
2025-11-05 15:52:35 -     Found 53 players
2025-11-05 15:52:35 -   Scraping: pit 1979...
2025-11-05 15:52:43 -     Found 49 players
2025-11-05 15:52:43 -   Scraping: sfo 1979...
2025-11-05 15:52:50 -     Found 58 players
2025-11-05 15:52:50 -   Scraping: sea 1979...
2025-11-05 15:53:05 -     Found 55 players
2025-11-05 15:53:05 -   Scraping: tam 1979...
2025-11-05 15:53:16 -     Found 49 players
2025-11-05 15:53:16 -   Scraping: oti 1979...
2025-11-05 15:53:45 -     Found 57 players
2025-11-05 15:53:45 -   Scraping: was 1979...
2025-11-05 15:54:11 -     Found 52 players
2025-11-05 15:54:11 - 
Processing 1980...
2025-11-05 15:54:11 -   Scraping: crd 1980...
2025-11-05 15:55:11 -     Found 62 players
2025-11-05 15:55:11 -   Scraping: atl 1980...
2025-11-05 15:55:22 -     Found 53 players
2025-11-05 15:55:22 -   Scraping: rav 1980...
2025-11-05 15:55:35 -     No roster table found for rav 1980
2025-11-05 15:55:35 -   Scraping: bal 1980...
2025-11-05 15:55:49 -     No roster table found for bal 1980
2025-11-05 15:55:49 -   Scraping: buf 1980...
2025-11-05 15:56:04 -     Found 53 players
2025-11-05 15:56:04 -   Scraping: car 1980...
2025-11-05 15:56:17 -     No roster table found for car 1980
2025-11-05 15:56:17 -   Scraping: chi 1980...
2025-11-05 15:56:24 -     Found 51 players
2025-11-05 15:56:24 -   Scraping: cin 1980...
2025-11-05 15:56:32 -     Found 56 players
2025-11-05 15:56:32 -   Scraping: cle 1980...
2025-11-05 15:56:48 -     Found 52 players
2025-11-05 15:56:48 -   Scraping: dal 1980...
2025-11-05 15:56:56 -     Found 51 players
2025-11-05 15:56:56 -   Scraping: den 1980...
2025-11-05 15:57:03 -     Found 57 players
2025-11-05 15:57:03 -   Scraping: det 1980...
2025-11-05 15:57:11 -     Found 64 players
2025-11-05 15:57:11 -   Scraping: gnb 1980...
2025-11-05 15:57:18 -     Found 65 players
2025-11-05 15:57:18 -   Scraping: oti 1980...
2025-11-05 15:57:25 -     Found 57 players
2025-11-05 15:57:25 -   Scraping: clt 1980...
2025-11-05 15:57:45 -     Found 53 players
2025-11-05 15:57:45 -   Scraping: jax 1980...
2025-11-05 15:57:58 -     No roster table found for jax 1980
2025-11-05 15:57:58 -   Scraping: kan 1980...
2025-11-05 15:58:06 -     Found 60 players
2025-11-05 15:58:06 -   Scraping: sdg 1980...
2025-11-05 15:58:15 -     Found 56 players
2025-11-05 15:58:15 -   Scraping: ram 1980...
2025-11-05 15:58:22 -     Found 57 players
2025-11-05 15:58:22 -   Scraping: rai 1980...
2025-11-05 15:58:41 -     Found 56 players
2025-11-05 15:58:41 -   Scraping: mia 1980...
2025-11-05 15:58:54 -     Found 57 players
2025-11-05 15:58:54 -   Scraping: min 1980...
2025-11-05 15:59:02 -     Found 55 players
2025-11-05 15:59:02 -   Scraping: nwe 1980...
2025-11-05 15:59:09 -     Found 51 players
2025-11-05 15:59:09 -   Scraping: nor 1980...
2025-11-05 15:59:16 -     Found 61 players
2025-11-05 15:59:16 -   Scraping: nyg 1980...
2025-11-05 15:59:24 -     Found 73 players
2025-11-05 15:59:24 -   Scraping: nyj 1980...
2025-11-05 15:59:31 -     Found 57 players
2025-11-05 15:59:31 -   Scraping: phi 1980...
2025-11-05 15:59:47 -     Found 56 players
2025-11-05 15:59:47 -   Scraping: pit 1980...
2025-11-05 16:00:21 -     Found 52 players
2025-11-05 16:00:21 -   Scraping: sfo 1980...
2025-11-05 16:00:31 -     Found 64 players
2025-11-05 16:00:31 -   Scraping: sea 1980...
2025-11-05 16:00:43 -     Found 52 players
2025-11-05 16:00:43 -   Scraping: tam 1980...
2025-11-05 16:01:14 -     Found 53 players
2025-11-05 16:01:14 -   Scraping: oti 1980...
2025-11-05 16:01:24 -     Found 57 players
2025-11-05 16:01:24 -   Scraping: was 1980...
2025-11-05 16:01:35 -     Found 55 players
2025-11-05 16:01:35 - 
Processing 1981...
2025-11-05 16:01:35 -   Scraping: crd 1981...
2025-11-05 16:02:21 -     Found 63 players
2025-11-05 16:02:21 -   Scraping: atl 1981...
2025-11-05 16:02:32 -     Found 51 players
2025-11-05 16:02:32 -   Scraping: rav 1981...
2025-11-05 16:02:45 -     No roster table found for rav 1981
2025-11-05 16:02:45 -   Scraping: bal 1981...
2025-11-05 16:02:59 -     No roster table found for bal 1981
2025-11-05 16:02:59 -   Scraping: buf 1981...
2025-11-05 16:03:26 -     Found 52 players
2025-11-05 16:03:26 -   Scraping: car 1981...
2025-11-05 16:03:39 -     No roster table found for car 1981
2025-11-05 16:03:39 -   Scraping: chi 1981...
2025-11-05 16:03:49 -     Found 57 players
2025-11-05 16:03:49 -   Scraping: cin 1981...
2025-11-05 16:03:59 -     Found 55 players
2025-11-05 16:03:59 -   Scraping: cle 1981...
2025-11-05 16:04:10 -     Found 53 players
2025-11-05 16:04:10 -   Scraping: dal 1981...
2025-11-05 16:04:20 -     Found 50 players
2025-11-05 16:04:20 -   Scraping: den 1981...
2025-11-05 16:04:30 -     Found 49 players
2025-11-05 16:04:30 -   Scraping: det 1981...
2025-11-05 16:04:41 -     Found 55 players
2025-11-05 16:04:41 -   Scraping: gnb 1981...
2025-11-05 16:05:08 -     Found 59 players
2025-11-05 16:05:08 -   Scraping: oti 1981...
2025-11-05 16:05:18 -     Found 53 players
2025-11-05 16:05:18 -   Scraping: clt 1981...
2025-11-05 16:05:29 -     Found 55 players
2025-11-05 16:05:29 -   Scraping: jax 1981...
2025-11-05 16:05:42 -     No roster table found for jax 1981
2025-11-05 16:05:42 -   Scraping: kan 1981...
2025-11-05 16:06:10 -     Found 62 players
2025-11-05 16:06:10 -   Scraping: sdg 1981...
2025-11-05 16:06:37 -     Found 58 players
2025-11-05 16:06:37 -   Scraping: ram 1981...
2025-11-05 16:06:47 -     Found 57 players
2025-11-05 16:06:47 -   Scraping: rai 1981...
2025-11-05 16:06:57 -     Found 56 players
2025-11-05 16:06:57 -   Scraping: mia 1981...
2025-11-05 16:07:15 -     Found 56 players
2025-11-05 16:07:15 -   Scraping: min 1981...
2025-11-05 16:07:26 -     Found 51 players
2025-11-05 16:07:26 -   Scraping: nwe 1981...
2025-11-05 16:07:37 -     Found 57 players
2025-11-05 16:07:37 -   Scraping: nor 1981...
2025-11-05 16:07:47 -     Found 57 players
2025-11-05 16:07:48 -   Scraping: nyg 1981...
2025-11-05 16:07:57 -     Found 57 players
2025-11-05 16:07:57 -   Scraping: nyj 1981...
2025-11-05 16:08:07 -     Found 53 players
2025-11-05 16:08:07 -   Scraping: phi 1981...
2025-11-05 16:08:21 -     Found 56 players
2025-11-05 16:08:21 -   Scraping: pit 1981...
2025-11-05 16:08:31 -     Found 51 players
2025-11-05 16:08:31 -   Scraping: sfo 1981...
2025-11-05 16:08:41 -   Scraping: sea 1981...
2025-11-05 16:09:04 -   Scraping: tam 1981...
2025-11-05 16:09:06 -   Scraping: oti 1981...
2025-11-05 16:23:40 -   Scraping: ten 1981...
2025-11-05 16:23:42 -   Scraping: was 1981...
2025-11-05 16:23:44 - 
Processing 1982...
2025-11-05 16:23:44 -   Scraping: crd 1982...
2025-11-05 16:23:46 -   Scraping: ari 1982...
2025-11-05 16:23:48 -   Scraping: atl 1982...
2025-11-05 16:23:50 -   Scraping: rav 1982...
2025-11-05 16:23:52 -   Scraping: bal 1982...
2025-11-05 16:23:54 -   Scraping: buf 1982...
2025-11-05 16:23:56 -   Scraping: car 1982...
2025-11-05 16:23:58 -   Scraping: chi 1982...
2025-11-05 16:24:00 -   Scraping: cin 1982...
2025-11-05 17:06:30 -   Scraping: cle 1982...
2025-11-05 17:06:32 -   Scraping: dal 1982...
2025-11-05 17:06:34 -   Scraping: den 1982...
2025-11-05 17:06:36 -   Scraping: det 1982...
2025-11-05 17:06:38 -   Scraping: gnb 1982...
2025-11-05 17:06:40 -   Scraping: oti 1982...
2025-11-05 17:06:42 -   Scraping: htx 1982...
2025-11-05 17:06:44 -   Scraping: clt 1982...
2025-11-05 17:06:46 -   Scraping: ind 1982...
2025-11-05 17:06:48 -   Scraping: jax 1982...
2025-11-05 17:06:50 -   Scraping: kan 1982...
2025-11-05 17:06:52 -   Scraping: sdg 1982...
2025-11-05 17:06:54 -   Scraping: ram 1982...
2025-11-05 17:06:56 -   Scraping: rai 1982...
2025-11-05 17:06:58 -   Scraping: oak 1982...
2025-11-05 17:07:00 -   Scraping: mia 1982...
2025-11-05 17:07:02 -   Scraping: min 1982...
2025-11-05 17:07:04 -   Scraping: nwe 1982...
2025-11-05 17:07:06 -   Scraping: nor 1982...
2025-11-05 17:07:08 -   Scraping: nyg 1982...
2025-11-05 17:07:10 -   Scraping: nyj 1982...
2025-11-05 17:07:12 -   Scraping: phi 1982...
2025-11-05 17:07:14 -   Scraping: pit 1982...
2025-11-05 17:07:16 -   Scraping: sfo 1982...
2025-11-05 17:07:18 -   Scraping: sea 1982...
2025-11-05 17:07:20 -   Scraping: tam 1982...
2025-11-05 17:07:22 -   Scraping: oti 1982...
2025-11-05 17:07:24 -   Scraping: ten 1982...
2025-11-05 17:07:27 -   Scraping: was 1982...
2025-11-05 17:07:29 - 
Processing 1983...
2025-11-05 17:07:29 -   Scraping: crd 1983...
2025-11-05 17:07:31 -   Scraping: ari 1983...
2025-11-05 17:07:33 -   Scraping: atl 1983...
2025-11-05 17:07:35 -   Scraping: rav 1983...
2025-11-05 17:07:37 -   Scraping: bal 1983...
2025-11-05 17:07:39 -   Scraping: buf 1983...
2025-11-05 17:07:41 -   Scraping: car 1983...
2025-11-05 17:07:43 -   Scraping: chi 1983...
2025-11-05 17:07:45 -   Scraping: cin 1983...
2025-11-05 17:07:47 -   Scraping: cle 1983...
2025-11-05 17:07:49 -   Scraping: dal 1983...
2025-11-05 17:07:51 -   Scraping: den 1983...
2025-11-05 17:07:53 -   Scraping: det 1983...
2025-11-05 17:07:55 -   Scraping: gnb 1983...
2025-11-05 17:07:57 -   Scraping: oti 1983...
2025-11-05 17:07:59 -   Scraping: htx 1983...
2025-11-05 17:08:01 -   Scraping: clt 1983...
2025-11-05 17:08:03 -   Scraping: ind 1983...
2025-11-05 17:08:05 -   Scraping: jax 1983...
2025-11-05 17:08:07 -   Scraping: kan 1983...
2025-11-05 17:08:09 -   Scraping: sdg 1983...
2025-11-05 17:08:11 -   Scraping: ram 1983...
2025-11-05 17:08:13 -   Scraping: rai 1983...
2025-11-05 17:08:15 -   Scraping: oak 1983...
2025-11-05 17:08:17 -   Scraping: mia 1983...
2025-11-05 17:08:19 -   Scraping: min 1983...
2025-11-05 17:08:21 -   Scraping: nwe 1983...
2025-11-05 17:08:23 -   Scraping: nor 1983...
2025-11-05 17:08:25 -   Scraping: nyg 1983...
2025-11-05 17:08:27 -   Scraping: nyj 1983...
2025-11-05 17:08:29 -   Scraping: phi 1983...
2025-11-05 17:08:31 -   Scraping: pit 1983...
2025-11-05 17:08:33 -   Scraping: sfo 1983...
2025-11-05 17:08:35 -   Scraping: sea 1983...
2025-11-05 17:08:37 -   Scraping: tam 1983...
2025-11-05 17:08:39 -   Scraping: oti 1983...
2025-11-05 17:08:41 -   Scraping: ten 1983...
2025-11-05 17:08:43 -   Scraping: was 1983...
2025-11-05 17:08:45 - 
Processing 1984...
2025-11-05 17:08:45 -   Scraping: crd 1984...
2025-11-05 17:08:47 -   Scraping: ari 1984...
2025-11-05 17:08:49 -   Scraping: atl 1984...
2025-11-05 17:08:51 -   Scraping: rav 1984...
2025-11-05 17:08:53 -   Scraping: bal 1984...
2025-11-05 17:08:55 -   Scraping: buf 1984...
2025-11-05 17:08:57 -   Scraping: car 1984...
2025-11-05 17:08:59 -   Scraping: chi 1984...
2025-11-05 17:09:01 -   Scraping: cin 1984...
2025-11-05 17:09:03 -   Scraping: cle 1984...
2025-11-05 17:09:05 -   Scraping: dal 1984...
2025-11-05 17:09:07 -   Scraping: den 1984...
2025-11-05 17:09:09 -   Scraping: det 1984...
2025-11-05 17:09:11 -   Scraping: gnb 1984...
2025-11-05 17:09:13 -   Scraping: oti 1984...
2025-11-05 17:09:15 -   Scraping: htx 1984...
2025-11-05 17:09:17 -   Scraping: clt 1984...
2025-11-05 17:09:19 -   Scraping: ind 1984...
2025-11-05 17:09:21 -   Scraping: jax 1984...
2025-11-05 17:09:23 -   Scraping: kan 1984...
2025-11-05 17:09:25 -   Scraping: sdg 1984...
2025-11-05 17:09:27 -   Scraping: ram 1984...
2025-11-05 17:09:29 -   Scraping: rai 1984...
2025-11-05 17:09:31 -   Scraping: oak 1984...
2025-11-05 17:09:33 -   Scraping: mia 1984...
2025-11-05 17:09:35 -   Scraping: min 1984...
2025-11-05 17:09:37 -   Scraping: nwe 1984...
2025-11-05 17:09:39 -   Scraping: nor 1984...
2025-11-05 17:09:41 -   Scraping: nyg 1984...
2025-11-05 17:09:43 -   Scraping: nyj 1984...
2025-11-05 17:09:45 -   Scraping: phi 1984...
2025-11-05 17:09:47 -   Scraping: pit 1984...
2025-11-05 17:09:49 -   Scraping: sfo 1984...
2025-11-05 17:09:51 -   Scraping: sea 1984...
2025-11-05 17:09:53 -   Scraping: tam 1984...
2025-11-05 17:09:55 -   Scraping: oti 1984...
2025-11-05 17:09:57 -   Scraping: ten 1984...
2025-11-05 17:09:59 -   Scraping: was 1984...
2025-11-05 17:10:01 - 
Processing 1985...
2025-11-05 17:10:01 -   Scraping: crd 1985...
2025-11-05 17:10:03 -   Scraping: ari 1985...
2025-11-05 17:10:05 -   Scraping: atl 1985...
2025-11-05 17:10:07 -   Scraping: rav 1985...
2025-11-05 17:10:09 -   Scraping: bal 1985...
2025-11-05 17:10:11 -   Scraping: buf 1985...
2025-11-05 17:10:13 -   Scraping: car 1985...
2025-11-05 17:10:15 -   Scraping: chi 1985...
2025-11-05 17:10:17 -   Scraping: cin 1985...
2025-11-05 17:10:19 -   Scraping: cle 1985...
2025-11-05 17:10:21 -   Scraping: dal 1985...
2025-11-05 17:10:23 -   Scraping: den 1985...
2025-11-05 17:10:25 -   Scraping: det 1985...
2025-11-05 17:10:27 -   Scraping: gnb 1985...
2025-11-05 17:10:29 -   Scraping: oti 1985...
2025-11-05 17:10:31 -   Scraping: htx 1985...
2025-11-05 17:10:33 -   Scraping: clt 1985...
2025-11-05 17:10:35 -   Scraping: ind 1985...
2025-11-05 17:10:37 -   Scraping: jax 1985...
2025-11-05 17:10:39 -   Scraping: kan 1985...
2025-11-05 17:10:41 -   Scraping: sdg 1985...
2025-11-05 17:10:43 -   Scraping: ram 1985...
2025-11-05 17:10:45 -   Scraping: rai 1985...
2025-11-05 17:10:47 -   Scraping: oak 1985...
2025-11-05 17:10:49 -   Scraping: mia 1985...
2025-11-05 17:10:51 -   Scraping: min 1985...
2025-11-05 17:10:53 -   Scraping: nwe 1985...
2025-11-05 17:10:55 -   Scraping: nor 1985...
2025-11-05 17:10:57 -   Scraping: nyg 1985...
2025-11-05 17:10:59 -   Scraping: nyj 1985...
2025-11-05 17:11:01 -   Scraping: phi 1985...
2025-11-05 17:11:03 -   Scraping: pit 1985...
2025-11-05 17:11:05 -   Scraping: sfo 1985...
2025-11-05 17:11:07 -   Scraping: sea 1985...
2025-11-05 17:11:09 -   Scraping: tam 1985...
2025-11-05 17:11:11 -   Scraping: oti 1985...
2025-11-05 17:13:14 - ================================================================================
2025-11-05 17:13:14 - PRO FOOTBALL REFERENCE ROSTER SCRAPER (1970-2001) - SELENIUM VERSION
2025-11-05 17:13:14 - ================================================================================
2025-11-05 17:13:14 - 
2025-11-05 17:13:14 - No existing data found - starting from 1970
2025-11-05 17:13:14 - Starting Chrome browser...
2025-11-05 17:13:17 - 
Processing 1970...
2025-11-05 17:13:17 -   Scraping: crd 1970...
2025-11-05 17:13:50 -   Scraping: ari 1970...
2025-11-05 17:14:08 -   Scraping: atl 1970...
2025-11-05 17:14:26 -   Scraping: rav 1970...
2025-11-05 17:14:45 -   Scraping: bal 1970...
2025-11-05 17:15:03 -   Scraping: buf 1970...
2025-11-05 17:15:22 -   Scraping: car 1970...
2025-11-05 17:16:16 - ================================================================================
2025-11-05 17:16:16 - PRO FOOTBALL REFERENCE ROSTER SCRAPER (1970-2001) - SELENIUM VERSION
2025-11-05 17:16:16 - ================================================================================
2025-11-05 17:16:16 - 
2025-11-05 17:16:16 - No existing data found - starting from 1970
2025-11-05 17:16:16 - Starting Chrome browser...
2025-11-05 17:16:19 - 
Processing 1970...
2025-11-05 17:16:19 -   Scraping: crd 1970...
2025-11-05 17:17:24 -     Found 48 players
2025-11-05 17:17:24 -   Scraping: atl 1970...
2025-11-05 17:17:40 -     Found 49 players
2025-11-05 17:17:40 -   Scraping: rav 1970...
2025-11-05 17:17:54 -     No roster table found for rav 1970
2025-11-05 17:17:54 -   Scraping: bal 1970...
2025-11-05 17:18:08 -     No roster table found for bal 1970
2025-11-05 17:18:08 -   Scraping: buf 1970...
2025-11-05 17:18:37 -     Found 5 players
2025-11-05 17:18:37 -   Scraping: car 1970...
2025-11-05 17:18:50 -     No roster table found for car 1970
2025-11-05 17:18:50 -   Scraping: chi 1970...
2025-11-05 17:19:02 -     Found 51 players
2025-11-05 17:19:02 -   Scraping: cin 1970...
2025-11-05 17:19:11 -     Found 49 players
2025-11-05 17:19:12 -   Scraping: cle 1970...
2025-11-05 17:19:24 -     Found 50 players
2025-11-05 17:19:24 -   Scraping: dal 1970...
2025-11-05 17:19:33 -     Found 46 players
2025-11-05 17:19:33 -   Scraping: den 1970...
2025-11-05 17:19:41 -     Found 53 players
2025-11-05 17:19:41 -   Scraping: det 1970...
2025-11-05 17:19:51 -     Found 48 players
2025-11-05 17:19:51 -   Scraping: gnb 1970...
2025-11-05 17:20:00 -     Found 50 players
2025-11-05 17:20:00 -   Scraping: oti 1970...
2025-11-05 17:21:13 -     Found 50 players
2025-11-05 17:21:13 -   Scraping: clt 1970...
2025-11-05 17:21:24 -     Found 48 players
2025-11-05 17:21:24 -   Scraping: jax 1970...
2025-11-05 17:21:38 -     No roster table found for jax 1970
2025-11-05 17:21:38 -   Scraping: kan 1970...
2025-11-05 17:21:50 -     Found 49 players
2025-11-05 17:21:50 -   Scraping: sdg 1970...
2025-11-05 17:22:01 -     Found 51 players
2025-11-05 17:22:01 -   Scraping: ram 1970...
2025-11-05 17:22:11 -     Found 49 players
2025-11-05 17:22:11 -   Scraping: rai 1970...
2025-11-05 17:22:21 -     Found 47 players
2025-11-05 17:22:21 -   Scraping: mia 1970...
2025-11-05 17:22:30 -     Found 50 players
2025-11-05 17:22:30 -   Scraping: min 1970...
2025-11-05 17:22:40 -     Found 48 players
2025-11-05 17:22:40 -   Scraping: nwe 1970...
2025-11-05 17:22:49 -     Found 52 players
2025-11-05 17:22:49 -   Scraping: nor 1970...
2025-11-05 17:22:57 -     Found 61 players
2025-11-05 17:22:57 -   Scraping: nyg 1970...
2025-11-05 17:23:06 -     Found 48 players
2025-11-05 17:23:06 -   Scraping: nyj 1970...
2025-11-05 17:23:16 -     Found 51 players
2025-11-05 17:23:16 -   Scraping: phi 1970...
2025-11-05 17:23:23 -     Found 52 players
2025-11-05 17:23:23 -   Scraping: pit 1970...
2025-11-05 17:23:31 -     Found 52 players
2025-11-05 17:23:31 -   Scraping: sfo 1970...
2025-11-05 17:23:39 -     Found 46 players
2025-11-05 17:23:39 -   Scraping: sea 1970...
2025-11-05 17:23:54 -     No roster table found for sea 1970
2025-11-05 17:23:54 -   Scraping: tam 1970...
2025-11-05 17:24:07 -     No roster table found for tam 1970
2025-11-05 17:24:07 -   Scraping: oti 1970...
2025-11-05 17:24:15 -     Found 50 players
2025-11-05 17:24:15 -   Scraping: was 1970...
2025-11-05 17:24:23 -     Found 50 players
2025-11-05 17:24:26 - 
Browser closed
2025-11-05 17:42:58 - ================================================================================
2025-11-05 17:42:58 - PRO FOOTBALL REFERENCE ROSTER SCRAPER (1970-2001) - SELENIUM VERSION
2025-11-05 17:42:58 - ================================================================================
2025-11-05 17:42:58 - 
2025-11-05 17:42:58 - Loading existing data...
2025-11-05 17:42:58 - Found existing data through 1970
2025-11-05 17:42:58 - Resuming from 1971...
2025-11-05 17:42:58 - Starting Chrome browser...
2025-11-05 17:43:02 - 
Processing 1971...
2025-11-05 17:43:02 -   Scraping: crd 1971...
2025-11-05 17:43:17 -     Found 55 players
2025-11-05 17:43:17 -   Scraping: atl 1971...
2025-11-05 17:43:45 -     Found 52 players
2025-11-05 17:43:45 -   Scraping: rav 1971...
2025-11-05 17:43:58 -     No roster table found for rav 1971
2025-11-05 17:43:58 -   Scraping: bal 1971...
2025-11-05 17:44:11 -     No roster table found for bal 1971
2025-11-05 17:44:11 -   Scraping: buf 1971...
2025-11-05 17:44:21 -     Found 5 players
2025-11-05 17:44:21 -   Scraping: car 1971...
2025-11-05 17:44:34 -     No roster table found for car 1971
2025-11-05 17:44:34 -   Scraping: chi 1971...
2025-11-05 17:46:36 -   Scraping: cin 1971...
2025-11-05 17:48:38 -   Scraping: cle 1971...
2025-11-05 17:50:40 -   Scraping: dal 1971...
2025-11-05 17:52:42 -   Scraping: den 1971...
2025-11-05 17:54:44 -   Scraping: det 1971...
2025-11-05 17:56:46 -   Scraping: gnb 1971...
2025-11-05 17:58:48 -   Scraping: oti 1971...
2025-11-05 18:00:50 -   Scraping: htx 1971...
2025-11-05 18:02:52 -   Scraping: clt 1971...
2025-11-05 18:04:54 -   Scraping: ind 1971...
2025-11-05 18:06:57 -   Scraping: jax 1971...
2025-11-05 18:08:59 -   Scraping: kan 1971...
2025-11-05 18:11:01 -   Scraping: sdg 1971...
2025-11-05 18:13:03 -   Scraping: ram 1971...
2025-11-05 18:15:05 -   Scraping: rai 1971...
2025-11-05 18:17:07 -   Scraping: oak 1971...
2025-11-05 18:19:09 -   Scraping: mia 1971...
2025-11-05 18:21:11 -   Scraping: min 1971...
2025-11-05 18:23:13 -   Scraping: nwe 1971...
2025-11-05 18:25:15 -   Scraping: nor 1971...
2025-11-05 18:27:17 -   Scraping: nyg 1971...
2025-11-05 18:29:19 -   Scraping: nyj 1971...
2025-11-05 18:31:21 -   Scraping: phi 1971...
2025-11-05 18:33:23 -   Scraping: pit 1971...
2025-11-05 18:35:25 -   Scraping: sfo 1971...
2025-11-05 18:37:27 -   Scraping: sea 1971...
2025-11-05 18:39:29 -   Scraping: tam 1971...
2025-11-05 18:41:31 -   Scraping: oti 1971...
2025-11-05 18:43:33 -   Scraping: ten 1971...
2025-11-05 18:45:35 -   Scraping: was 1971...
2025-11-05 18:47:37 -   >> Checkpoint saved: 1319 players
2025-11-05 18:47:37 - 
Processing 1972...
2025-11-05 18:47:37 -   Scraping: crd 1972...
2025-11-05 18:49:39 -   Scraping: ari 1972...
