====================================================================================================
COLLEGES NEEDING MAPPING DECISIONS
====================================================================================================

Total colleges in Madden list: 493
Total unique colleges in source files: 1897
Colleges that match exactly: 415
Colleges needing mapping: 1482
Player instances affected: 31730

====================================================================================================
COLLEGES NEEDING MAPPING (sorted by frequency)
====================================================================================================

Source Name                                        Count      Status
Pasadena CC,Arizona St.                            5          NEEDS DECISION
Bridgeport,Connecticut                             5          NEEDS DECISION
Sam Houston St.,Baylor                             5          NEEDS DECISION
Santa Monica College (CA),Colorado St.             5          NEEDS DECISION
East Mississippi CC,Troy                           5          NEEDS DECISION
Norwich                                            5          NEEDS DECISION
Lakeland,Illinois                                  5          NEEDS DECISION
Moorhead State (MN)                                5          NEEDS DECISION
La Verne                                           5          NEEDS DECISION
Cal Poly-San Luis Obispo,UCLA                      5          NEEDS DECISION
West Virginia St.,East Carolina                    5          NEEDS DECISION
Weber St.,Fresno St.                               5          NEEDS DECISION
Trinity (CT)                                       5          NEEDS DECISION
Wittenberg                                         5          NEEDS DECISION
Cal Poly-Pomona,Fresno St.                         5          NEEDS DECISION
West Virginia Tech                                 5          NEEDS DECISION
Franklin & Marshall                                5          NEEDS DECISION
Purdue,San Diego St.                               5          NEEDS DECISION
Nebraska-Omaha,Nebraska                            5          NEEDS DECISION
Northern Arizona,Nevada                            5          NEEDS DECISION
DePauw                                             5          NEEDS DECISION
Tennessee St.,Carson-Newman                        5          NEEDS DECISION
Notre Dame,Syracuse                                5          NEEDS DECISION
West Virginia,Louisville                           5          NEEDS DECISION
Iowa,San Diego St.                                 5          NEEDS DECISION
Oklahoma,Louisville                                5          NEEDS DECISION
Eastern Michigan,Ohio Wesleyan                     5          NEEDS DECISION
Sacramento CC,Texas A&M,Central Oklahoma           5          NEEDS DECISION
Iowa Central,Missouri,Colorado St.                 5          NEEDS DECISION
Pittsburgh,Mississippi St.                         5          NEEDS DECISION
Pittsburgh,UCLA                                    5          NEEDS DECISION
Purdue,UNLV                                        5          NEEDS DECISION
Sacramento CC,Nevada                               5          NEEDS DECISION
California,Panhandle State (OK)                    5          NEEDS DECISION
East Mississippi CC,Houston                        5          NEEDS DECISION
Alabama,Mississippi                                5          NEEDS DECISION
Kilgore College,NE State (OK)                      5          NEEDS DECISION
Michigan,Clemson                                   5          NEEDS DECISION
Michigan,Southern Illinois                         5          NEEDS DECISION
Mercyhurst,Langston                                5          NEEDS DECISION
Hinds CC,Knoxville                                 5          NEEDS DECISION
Holmes (MS),Florida St.                            5          NEEDS DECISION
Florida,South Carolina                             5          NEEDS DECISION
UC Riverside,Washington St.                        5          NEEDS DECISION
Pittsburgh,Indiana (PA)                            5          NEEDS DECISION
Georgia Military,Appalachian St.                   5          NEEDS DECISION
Louisiana College                                  5          NEEDS DECISION
Virginia Commonwealth                              5          NEEDS DECISION
Centenary                                          5          NEEDS DECISION
Wesleyan                                           5          NEEDS DECISION
Col. of Idaho                                      5          NEEDS DECISION
Springfield                                        5          NEEDS DECISION
Capital                                            5          NEEDS DECISION
Cal Poly                                           5          NEEDS DECISION
Angelo State                                       5          NEEDS DECISION
SC St.                                             5          NEEDS DECISION
W. Mich                                            5          NEEDS DECISION
Texas-San Antonio                                  5          NEEDS DECISION
E. Mich                                            5          NEEDS DECISION
Central St.                                        5          NEEDS DECISION
Jackson St.,Tennessee St.                          4          NEEDS DECISION
Kentucky,Western Kentucky                          4          NEEDS DECISION
East Mississippi CC,Mississippi St.                4          NEEDS DECISION
Pittsburgh,Tennessee                               4          NEEDS DECISION
Kentucky,Texas A&M                                 4          NEEDS DECISION
Philander Smith                                    4          NEEDS DECISION
UCLA,USC                                           4          NEEDS DECISION
USC,Hawaii                                         4          NEEDS DECISION
North Texas,Texas,Coast Guard                      4          NEEDS DECISION
LSU,McNeese St.                                    4          NEEDS DECISION
Utah,USC                                           4          NEEDS DECISION
Fort Lewis                                         4          NEEDS DECISION
Iowa,Miami (FL)                                    4          NEEDS DECISION
Washington,San Diego St.                           4          NEEDS DECISION
William Jewell                                     4          NEEDS DECISION
UCLA,SMU                                           4          NEEDS DECISION
Ferrum,Wake Forest                                 4          NEEDS DECISION
Eastern Arizona,Arizona                            4          NEEDS DECISION
California,Southern                                4          NEEDS DECISION
New Mexico,Cal State-Chico                         4          NEEDS DECISION
Colorado,San Diego St.                             4          NEEDS DECISION
Marshall,Tampa                                     4          NEEDS DECISION
Cal State-Hayward                                  4          NEEDS DECISION
Ferrum,Virginia Tech,Lenoir-Rhyne,Clemson          4          NEEDS DECISION
Oregon,Hawaii,Portland St.                         4          NEEDS DECISION
Michigan St.,Hawaii                                4          NEEDS DECISION
UCLA,Tulsa                                         4          NEEDS DECISION
Ferrum,Tennessee Tech,Cincinnati                   4          NEEDS DECISION
Oregon St.,Prairie View A&M                        4          NEEDS DECISION
Weber St.,Utah St.                                 4          NEEDS DECISION
Ferrum,Clemson                                     4          NEEDS DECISION
Memphis,California (PA)                            4          NEEDS DECISION
Oklahoma St.,San Diego St.                         4          NEEDS DECISION
Utah,Colorado                                      4          NEEDS DECISION
East Tennessee St.,Carson-Newman                   4          NEEDS DECISION
Air Force,Tulsa                                    4          NEEDS DECISION
Bowie St.                                          4          NEEDS DECISION
Westminster (MO),Wyoming                           4          NEEDS DECISION
Wisconsin,Tulsa                                    4          NEEDS DECISION
Texas Southern,Nebraska                            4          NEEDS DECISION
Florida A&M,Alabama                                4          NEEDS DECISION
Stanford,Missouri,Indiana                          4          NEEDS DECISION
Chabot,Washington St.                              4          NEEDS DECISION
Ferrum,Montclair St.                               4          NEEDS DECISION
Iowa,South Dakota St.                              4          NEEDS DECISION
Alma                                               4          NEEDS DECISION
USC,Iowa St.                                       4          NEEDS DECISION
Nebraska,USC                                       4          NEEDS DECISION
Pittsburgh,West Virginia                           4          NEEDS DECISION
Michigan,Texas A&M                                 4          NEEDS DECISION
UCLA,Texas                                         4          NEEDS DECISION
Western Michigan,Pittsburgh                        4          NEEDS DECISION
Oklahoma St.,Western Illinois                      4          NEEDS DECISION
NE State (OK),Indiana                              4          NEEDS DECISION
Hawaii,Fresno St.                                  4          NEEDS DECISION
Tennessee,Mississippi                              4          NEEDS DECISION
Alabama,La-Monroe                                  4          NEEDS DECISION
Copiah-Lincoln CC,Ark-Pine Bluff,Texas Southern    4          NEEDS DECISION
Chadron St.                                        4          NEEDS DECISION
Pasadena CC                                        4          NEEDS DECISION
Southern Utah,Stanford                             4          NEEDS DECISION
Ferrum                                             4          NEEDS DECISION
Towson,Maryland                                    4          NEEDS DECISION
Iowa St.,Colorado St.                              4          NEEDS DECISION
Michigan St.,Boston Univ.                          4          NEEDS DECISION
Acadia (Canada),Washington                         4          NEEDS DECISION
NE Oklahoma A&M,Indiana                            4          NEEDS DECISION
Hinds CC,Jackson St.                               4          NEEDS DECISION
Georgia Military,Clemson                           4          NEEDS DECISION
Stanford,Nebraska                                  4          NEEDS DECISION
East Tennessee St.,Ala-Birmingham                  4          NEEDS DECISION
Michigan,Stanford                                  4          NEEDS DECISION
Ohio St.,Troy                                      4          NEEDS DECISION
Augusta State (GA)                                 4          NEEDS DECISION
Michigan,Western Illinois                          4          NEEDS DECISION
Sacramento St.,Pacific,UCLA                        4          NEEDS DECISION
Grove City                                         4          NEEDS DECISION
McGill Univ.                                       4          NEEDS DECISION
Limestone College                                  4          NEEDS DECISION
UBC                                                4          NEEDS DECISION
Manhattan                                          4          NEEDS DECISION
Creighton                                          4          NEEDS DECISION
Illinois Wesleyan                                  4          NEEDS DECISION
Ripon                                              4          NEEDS DECISION
Geneva                                             4          NEEDS DECISION
Lawrence                                           4          NEEDS DECISION
Denison                                            4          NEEDS DECISION
Pepperdine                                         4          NEEDS DECISION
Wiley                                              4          NEEDS DECISION
Southeast Missouri State                           4          NEEDS DECISION
Memphis State                                      4          NEEDS DECISION
WisconsinâStout                                  4          NEEDS DECISION
Eastern Montana                                    4          NEEDS DECISION
Wisconsin–Whitewater                               4          NEEDS DECISION
Southern Connecticut State                         4          NEEDS DECISION
Oregon Tech                                        4          NEEDS DECISION
Saginaw Valley State                               4          NEEDS DECISION
OkSU                                               4          NEEDS DECISION
Wash St.                                           4          NEEDS DECISION
West Virginia,UT Martin                            3          NEEDS DECISION
Cameron,Arizona                                    3          NEEDS DECISION
Compton CC (CA)                                    3          NEEDS DECISION
Marquette,Drake                                    3          NEEDS DECISION
Detroit Mercy,Houston                              3          NEEDS DECISION
North Park                                         3          NEEDS DECISION
Georgia,Tulsa                                      3          NEEDS DECISION
San Jose St.,San Diego St.                         3          NEEDS DECISION
Missouri,Truman St.                                3          NEEDS DECISION
Loyola (LA),Tulane                                 3          NEEDS DECISION
Wiley,Jackson St.                                  3          NEEDS DECISION
Tampa,Syracuse                                     3          NEEDS DECISION
Gavilan College,California                         3          NEEDS DECISION
Texas,Texas-El Paso                                3          NEEDS DECISION
Texas A&M,NW (IA)                                  3          NEEDS DECISION
Memphis,Kent St.                                   3          NEEDS DECISION
New Mex. Highlands,California                      3          NEEDS DECISION
Hiram,Colorado St.                                 3          NEEDS DECISION
St. Joseph's (PA)                                  3          NEEDS DECISION
Notre Dame,Kent St.                                3          NEEDS DECISION
Minot St.                                          3          NEEDS DECISION
Minot St.,Montana                                  3          NEEDS DECISION
Nebraska,Nebraska-Omaha                            3          NEEDS DECISION
Tampa,Cincinnati                                   3          NEEDS DECISION
College of the Canyons (CA),Morris Brown,UNLV      3          NEEDS DECISION
Cal State-Fullerton,San Jose St.                   3          NEEDS DECISION
Maryland,Youngstown St.                            3          NEEDS DECISION
Lincoln (MO),Minnesota                             3          NEEDS DECISION
Washington,Idaho                                   3          NEEDS DECISION
Oregon St.,Nebraska                                3          NEEDS DECISION
West Virginia Wesleyan                             3          NEEDS DECISION
Cincinnati,Arizona                                 3          NEEDS DECISION
Oregon,San Diego St.                               3          NEEDS DECISION
Oklahoma,Central Oklahoma                          3          NEEDS DECISION
Saint John's (MN)                                  3          NEEDS DECISION
Arizona St.,LSU                                    3          NEEDS DECISION
Oregon Tech,Boise St.                              3          NEEDS DECISION
Weber St.,St. Mary's (CA)                          3          NEEDS DECISION
Purdue,Elon                                        3          NEEDS DECISION
Oklahoma,Maryland                                  3          NEEDS DECISION
Winona St.                                         3          NEEDS DECISION
Colorado,Arizona                                   3          NEEDS DECISION
Texas,Bishop                                       3          NEEDS DECISION
Bates                                              3          NEEDS DECISION
Upsala                                             3          NEEDS DECISION
Lock Haven                                         3          NEEDS DECISION
Oregon Tech,Portland St.                           3          NEEDS DECISION
Union (NY)                                         3          NEEDS DECISION
Toronto                                            3          NEEDS DECISION
North Carolina,Tulsa                               3          NEEDS DECISION
Wichita St.,Michigan St.                           3          NEEDS DECISION
Cisco (TX),Houston                                 3          NEEDS DECISION
WisconsinâPlatteville,Minnesota-Duluth           3          NEEDS DECISION
Wichita St.,Arizona St.                            3          NEEDS DECISION
LSU,Nicholls St.                                   3          NEEDS DECISION
SMU,Arizona St.                                    3          NEEDS DECISION
SMU,Texas St.                                      3          NEEDS DECISION
Independence (KS),West Virginia                    3          NEEDS DECISION
USC,Long Beach St.                                 3          NEEDS DECISION
Anderson (IN)                                      3          NEEDS DECISION
Florida St.,Louisiana Tech                         3          NEEDS DECISION
Prairie View A&M,Liberty                           3          NEEDS DECISION
Colorado,Drake                                     3          NEEDS DECISION
Oklahoma,Washington                                3          NEEDS DECISION
Troy,NE State (OK)                                 3          NEEDS DECISION
Texas-El Paso,Missouri                             3          NEEDS DECISION
UCLA,Texas A&M                                     3          NEEDS DECISION
Saginaw Valley St.,Wayne State (MI)                3          NEEDS DECISION
Lamar,New Mexico St.                               3          NEEDS DECISION
Tennessee,South Carolina                           3          NEEDS DECISION
Fort Hays St.,Eastern Michigan                     3          NEEDS DECISION
Southwest Mississippi CC,Houston                   3          NEEDS DECISION
Michigan,Central State (OH)                        3          NEEDS DECISION
Wake Forest,East Carolina                          3          NEEDS DECISION
Kent St.,Louisiana                                 3          NEEDS DECISION
Cal Poly-San Luis Obispo,San Jose St.              3          NEEDS DECISION
Hinds CC,Houston                                   3          NEEDS DECISION
Allegheny                                          3          NEEDS DECISION
Tulane,Middle Tenn. St.                            3          NEEDS DECISION
Oklahoma,Sam Houston St.                           3          NEEDS DECISION
East Mississippi CC,North Alabama                  3          NEEDS DECISION
Grossmont College (CA),Oregon                      3          NEEDS DECISION
Georgia Military,Fort Valley St.                   3          NEEDS DECISION
Georgia Southern,Valdosta St.                      3          NEEDS DECISION
Northwest Mississippi CC,Kentucky St.              3          NEEDS DECISION
Arkansas,Northwestern St. (LA)                     3          NEEDS DECISION
Los Angeles Valley,Oregon St.                      3          NEEDS DECISION
Mississippi St.,Jackson St.                        3          NEEDS DECISION
Copiah-Lincoln CC,Mississippi St.                  3          NEEDS DECISION
Georgia Tech,Florida                               3          NEEDS DECISION
Copiah-Lincoln CC,Florida St.                      3          NEEDS DECISION
Butte JC (CA)                                      3          NEEDS DECISION
Louisiana,Southern                                 3          NEEDS DECISION
Central Florida,Morgan St.,Grambling St.           3          NEEDS DECISION
Mt S. Antonio                                      3          NEEDS DECISION
SE Missouri                                        3          NEEDS DECISION
Shepherd Univ.                                     3          NEEDS DECISION
Missouri University of Science & Technology        3          NEEDS DECISION
NYU                                                3          NEEDS DECISION
Catholic                                           3          NEEDS DECISION
Providence                                         3          NEEDS DECISION
Centre                                             3          NEEDS DECISION
Luther                                             3          NEEDS DECISION
Susquehanna                                        3          NEEDS DECISION
Rochester                                          3          NEEDS DECISION
Shurtleff                                          3          NEEDS DECISION
Guilford                                           3          NEEDS DECISION
Loras                                              3          NEEDS DECISION
Middlebury                                         3          NEEDS DECISION
WisconsinâSuperior                               3          NEEDS DECISION
Vermont                                            3          NEEDS DECISION
Pomona                                             3          NEEDS DECISION
Emory & Henry                                      3          NEEDS DECISION
Univ. of the South                                 3          NEEDS DECISION
Simpson                                            3          NEEDS DECISION
Boston University                                  3          NEEDS DECISION
Mayville St.                                       3          NEEDS DECISION
Cal State Fullerton                                3          NEEDS DECISION
Wisconsin–La Crosse                                3          NEEDS DECISION
Evangel                                            3          NEEDS DECISION
W&M                                                3          NEEDS DECISION
NC A&T                                             3          NEEDS DECISION
Mount                                              3          NEEDS DECISION
Clem                                               3          NEEDS DECISION
VTech                                              3          NEEDS DECISION
Cinci                                              3          NEEDS DECISION
Missouri Western                                   3          NEEDS DECISION
FA&M                                               3          NEEDS DECISION
Campbell                                           3          NEEDS DECISION
Louisiana-Lafayette                                3          NEEDS DECISION
UL Laf                                             3          NEEDS DECISION
SIU                                                3          NEEDS DECISION
M. Tenn St.                                        3          NEEDS DECISION
N. Texas                                           3          NEEDS DECISION
M. Tenn. St.                                       3          NEEDS DECISION
Indiana,Evansville                                 2          NEEDS DECISION
Arkansas,Arkansas St.                              2          NEEDS DECISION
Texas A&M,Texas A&M-Kingsville                     2          NEEDS DECISION
SMU,Tulsa                                          2          NEEDS DECISION
Los Angeles St.,UCLA                               2          NEEDS DECISION
Houston,Howard Payne                               2          NEEDS DECISION
Utah,Wyoming                                       2          NEEDS DECISION
Miami (FL),Wagner                                  2          NEEDS DECISION
Gettysburg                                         2          NEEDS DECISION
Laney,Long Beach St.                               2          NEEDS DECISION
Montana Tech                                       2          NEEDS DECISION
Florida,Michigan                                   2          NEEDS DECISION
California Lutheran,Alabama St.                    2          NEEDS DECISION
Ferrum,Tennessee                                   2          NEEDS DECISION
New Mex. Highlands,Eastern Michigan                2          NEEDS DECISION
Stanford,San Diego St.                             2          NEEDS DECISION
Murray St.,North Carolina St.                      2          NEEDS DECISION
Wichita St.,Missouri Southern                      2          NEEDS DECISION
Buffalo,Virginia Tech                              2          NEEDS DECISION
California,Long Beach St.                          2          NEEDS DECISION
Alabama,Troy                                       2          NEEDS DECISION
Hartnell,Grambling St.                             2          NEEDS DECISION
Mississippi Gulf Coast CC,Oklahoma St.             2          NEEDS DECISION
Taft,Miami (FL)                                    2          NEEDS DECISION
Oklahoma St.,Arizona                               2          NEEDS DECISION
Chowan,Edinboro                                    2          NEEDS DECISION
West Texas A&M,Utah St.                            2          NEEDS DECISION
Bishop,North Texas                                 2          NEEDS DECISION
Puget Sound,Idaho                                  2          NEEDS DECISION
Pasadena CC,Texas Tech                             2          NEEDS DECISION
BYU,Arizona                                        2          NEEDS DECISION
Illinois,DePauw                                    2          NEEDS DECISION
Park,MidAmerica Nazarene University                2          NEEDS DECISION
West Texas A&M,Illinois                            2          NEEDS DECISION
Washington St.,Hawaii                              2          NEEDS DECISION
Southern,Nicholls St.                              2          NEEDS DECISION
Texas Tech,Texas St.                               2          NEEDS DECISION
Northwestern,Kansas                                2          NEEDS DECISION
Ferrum,West Virginia Tech                          2          NEEDS DECISION
Boston Col.,Delaware                               2          NEEDS DECISION
Ferrum,West Virginia                               2          NEEDS DECISION
Texas St.,Houston                                  2          NEEDS DECISION
East Mississippi CC,Chattanooga                    2          NEEDS DECISION
Notre Dame,Maryland                                2          NEEDS DECISION
Nevada,Sacramento St.                              2          NEEDS DECISION
Kent St.,Arkansas                                  2          NEEDS DECISION
Wisconsin,Villanova                                2          NEEDS DECISION
Notre Dame,Tulane                                  2          NEEDS DECISION
Mount Senario                                      2          NEEDS DECISION
St. Joseph's (IN)                                  2          NEEDS DECISION
Thiel                                              2          NEEDS DECISION
UNLV,Southern                                      2          NEEDS DECISION
Washington,Cal State-Fullerton                     2          NEEDS DECISION
Chapman                                            2          NEEDS DECISION
Columbia,Princeton                                 2          NEEDS DECISION
Marion Military Institute,Central Florida          2          NEEDS DECISION
Tulane,Southern                                    2          NEEDS DECISION
Mississippi Gulf Coast CC,LSU,Louisiana            2          NEEDS DECISION
Florida,Oklahoma                                   2          NEEDS DECISION
Oregon St.,UNLV                                    2          NEEDS DECISION
Oklahoma,Southern Miss                             2          NEEDS DECISION
Laney,Cal State-Fullerton                          2          NEEDS DECISION
Notre Dame,Baylor                                  2          NEEDS DECISION
Penn St.,Bloomsburg                                2          NEEDS DECISION
Arizona St.,Nevada                                 2          NEEDS DECISION
Wesleyan,Connecticut                               2          NEEDS DECISION
Notre Dame,UCLA                                    2          NEEDS DECISION
Minnesota,La-Monroe,ArkansasâMonticello,Rowan    2          NEEDS DECISION
Lamar,Texas-El Paso                                2          NEEDS DECISION
Long Beach St.,Howard                              2          NEEDS DECISION
Clemson,Chattanooga                                2          NEEDS DECISION
Northwest Mississippi CC,Alcorn St.                2          NEEDS DECISION
NW Oklahoma St.,Kansas St.                         2          NEEDS DECISION
Tennessee,Memphis                                  2          NEEDS DECISION
Eastern Michigan,Illinois St.                      2          NEEDS DECISION
TCU,Murray St.                                     2          NEEDS DECISION
Arkansas,Murray St.                                2          NEEDS DECISION
Utah St.,Troy                                      2          NEEDS DECISION
Purdue,Towson                                      2          NEEDS DECISION
Oregon St.,Pacific                                 2          NEEDS DECISION
Illinois,Western Illinois                          2          NEEDS DECISION
S.F. Austin,Kansas St.                             2          NEEDS DECISION
Tulsa,Tarleton St.                                 2          NEEDS DECISION
Blinn College (TX),Angelo State (TX)               2          NEEDS DECISION
Utah St.,Eastern Washington                        2          NEEDS DECISION
Chabot,San Jose St.                                2          NEEDS DECISION
Jamestown                                          2          NEEDS DECISION
Washington St.,Utah                                2          NEEDS DECISION
Notre Dame,California                              2          NEEDS DECISION
West Virginia,James Madison                        2          NEEDS DECISION
Minnesota,Texas St.                                2          NEEDS DECISION
Butler (KS),Idaho                                  2          NEEDS DECISION
North Carolina St.,Tennessee                       2          NEEDS DECISION
Cerritos (CA),West Texas A&M                       2          NEEDS DECISION
Louisville,Georgia Tech                            2          NEEDS DECISION
South Carolina,Arkansas St.                        2          NEEDS DECISION
Butler (KS),Oklahoma                               2          NEEDS DECISION
Blinn College (TX),Kansas St.                      2          NEEDS DECISION
West Georgia,Lambuth                               2          NEEDS DECISION
San Jose St.,USC                                   2          NEEDS DECISION
Idaho,San Jose St.                                 2          NEEDS DECISION
East Central CC (MS),Mississippi                   2          NEEDS DECISION
Colorado Mesa,Weber St.                            2          NEEDS DECISION
San Jose St.,Gavilan College,Hawaii                2          NEEDS DECISION
Gavilan College,Akron                              2          NEEDS DECISION
Texas A&M,Western Illinois                         2          NEEDS DECISION
Cal-Bakersfield                                    2          NEEDS DECISION
P. View A&M                                        2          NEEDS DECISION
Lamar Univ.                                        2          NEEDS DECISION
Northeast Mississippi Community College            2          NEEDS DECISION
Kennesaw State University                          2          NEEDS DECISION
Chicago                                            2          NEEDS DECISION
Albright                                           2          NEEDS DECISION
Niagara                                            2          NEEDS DECISION
Tarkio                                             2          NEEDS DECISION
Davis & Elkins                                     2          NEEDS DECISION
Ohio Wesleyan                                      2          NEEDS DECISION
Western Maryland                                   2          NEEDS DECISION
Weber                                              2          NEEDS DECISION
Hampden-Sydney                                     2          NEEDS DECISION
Hanover                                            2          NEEDS DECISION
Washington & Jefferson                             2          NEEDS DECISION
Army/Mississippi                                   2          NEEDS DECISION
St. Olaf                                           2          NEEDS DECISION
North Texas State                                  2          NEEDS DECISION
Colby                                              2          NEEDS DECISION
Bluffton                                           2          NEEDS DECISION
New Mexico Highlands                               2          NEEDS DECISION
Huron                                              2          NEEDS DECISION
Panhandle State (OK)                               2          NEEDS DECISION
WisconsinâRiver Falls                            2          NEEDS DECISION
Santa Ana JC                                       2          NEEDS DECISION
Corpus Christi                                     2          NEEDS DECISION
Olivet                                             2          NEEDS DECISION
Bowdoin                                            2          NEEDS DECISION
Northern State Univ.                               2          NEEDS DECISION
Clark Atlanta                                      2          NEEDS DECISION
Peru St.                                           2          NEEDS DECISION
Kenyon                                             2          NEEDS DECISION
Western New Mexico                                 2          NEEDS DECISION
Bluefield                                          2          NEEDS DECISION
South Dakota-Springfield                           2          NEEDS DECISION
West Liberty                                       2          NEEDS DECISION
Cal Poly Pomona                                    2          NEEDS DECISION
St. Thomas (MN)                                    2          NEEDS DECISION
Northwestern Oklahoma State                        2          NEEDS DECISION
Elizabeth City State                               2          NEEDS DECISION
Graceland                                          2          NEEDS DECISION
Mankato State                                      2          NEEDS DECISION
Long Beach State                                   2          NEEDS DECISION
Carroll                                            2          NEEDS DECISION
Southwest Minnesota                                2          NEEDS DECISION
Northeast Louisiana                                2          NEEDS DECISION
Louisiana–Lafayette                                2          NEEDS DECISION
Cin                                                2          NEEDS DECISION
Tusculum                                           2          NEEDS DECISION
Albany (NY)                                        2          NEEDS DECISION
Vir                                                2          NEEDS DECISION
Mizz                                               2          NEEDS DECISION
Concordia-St.Paul (MN)                             2          NEEDS DECISION
Neveda                                             2          NEEDS DECISION
SD St                                              2          NEEDS DECISION
SE Miss St.                                        2          NEEDS DECISION
SDSt                                               2          NEEDS DECISION
S Miss                                             2          NEEDS DECISION
RI                                                 2          NEEDS DECISION
Alcorn                                             2          NEEDS DECISION
Central                                            2          NEEDS DECISION
Mich State                                         2          NEEDS DECISION
NDSt.                                              2          NEEDS DECISION
S. Dakota                                          2          NEEDS DECISION
ND St.                                             2          NEEDS DECISION
N. Iowa                                            2          NEEDS DECISION
S. Miss                                            2          NEEDS DECISION
Ark St.                                            2          NEEDS DECISION
W. Mich.                                           2          NEEDS DECISION
E.Mich                                             2          NEEDS DECISION
UL Laf.                                            2          NEEDS DECISION
Colorado Mesa,Arizona St.                          1          NEEDS DECISION
Pacific (OR)                                       1          NEEDS DECISION
Michigan St.,Hillsdale                             1          NEEDS DECISION
San Francisco St.,U.S. International               1          NEEDS DECISION
Wake Forest,Clemson,Georgia                        1          NEEDS DECISION
Auburn,Arkansas                                    1          NEEDS DECISION
Kansas,Hofstra                                     1          NEEDS DECISION
Eastern Michigan,Western Michigan                  1          NEEDS DECISION
Army,Tennessee                                     1          NEEDS DECISION
Washington St.,Arizona St.                         1          NEEDS DECISION
Phoenix College (JC)                               1          NEEDS DECISION
Indiana,Tulsa                                      1          NEEDS DECISION
Arizona,Lamar                                      1          NEEDS DECISION
Texas Tech,Georgia                                 1          NEEDS DECISION
Stanford,Idaho                                     1          NEEDS DECISION
Newport (Wales)                                    1          NEEDS DECISION
Texas A&M,Wake Forest                              1          NEEDS DECISION
Minnesota,Hardin-Simmons,Arizona St.               1          NEEDS DECISION
North Carolina,Syracuse                            1          NEEDS DECISION
Tulsa,San Diego St.                                1          NEEDS DECISION
Mississippi St.,Memphis                            1          NEEDS DECISION
Laney,New Mexico St.                               1          NEEDS DECISION
Johnson C. Smith,Illinois                          1          NEEDS DECISION
Central College (IA),Iowa St.                      1          NEEDS DECISION
Southern Illinois,Grambling St.                    1          NEEDS DECISION
Memphis,Troy                                       1          NEEDS DECISION
Connecticut,Emporia St.                            1          NEEDS DECISION
Drake,Michigan St.                                 1          NEEDS DECISION
New Mex. Mil. Inst.,Iowa St.                       1          NEEDS DECISION
New Mexico St.,Hawaii                              1          NEEDS DECISION
Cincinnati,UT Martin                               1          NEEDS DECISION
Northern Arizona,Missouri Valley                   1          NEEDS DECISION
Xavier (OH),Cincinnati                             1          NEEDS DECISION
Anahuac (Mexico),U.S. International                1          NEEDS DECISION
Northwest Mississippi CC,Jackson St.               1          NEEDS DECISION
Santa Rosa JC                                      1          NEEDS DECISION
Northern Arizona,Texas-Arlington                   1          NEEDS DECISION
Arkansas,Sam Houston St.                           1          NEEDS DECISION
Oregon St.,Miami (FL)                              1          NEEDS DECISION
Texas Southern,Oklahoma                            1          NEEDS DECISION
Colorado,UNLV                                      1          NEEDS DECISION
Southwestern (TX),Humboldt St.                     1          NEEDS DECISION
Auburn,Southern Miss                               1          NEEDS DECISION
Wesley,Wake Forest                                 1          NEEDS DECISION
SE Oklahoma St.,Oklahoma St.                       1          NEEDS DECISION
Penn St.,Temple                                    1          NEEDS DECISION
Tennessee St.,Southern                             1          NEEDS DECISION
Davis & Elkins,Abilene Christian                   1          NEEDS DECISION
Wesley,Florida St.                                 1          NEEDS DECISION
WisconsinâWhitewater,Milton                      1          NEEDS DECISION
Army,Nebraska                                      1          NEEDS DECISION
Oklahoma,La-Monroe                                 1          NEEDS DECISION
Michigan St.,UNLV                                  1          NEEDS DECISION
Savannah St.,Lenoir-Rhyne                          1          NEEDS DECISION
St. Mary's (Canada)                                1          NEEDS DECISION
California (PA),Waynesburg                         1          NEEDS DECISION
Grossmont College (CA),California                  1          NEEDS DECISION
Notre Dame,UNLV                                    1          NEEDS DECISION
Kansas,Tulsa,Missouri Southern                     1          NEEDS DECISION
UCLA,Colorado,Northern Colorado                    1          NEEDS DECISION
Western Illinois,Florida St.                       1          NEEDS DECISION
Louisiana Tech,Utah St.                            1          NEEDS DECISION
New Mex. Mil. Inst.,Col. of the Sequoias,Southeastern Louisiana 1          NEEDS DECISION
Gonzaga,Utah St.                                   1          NEEDS DECISION
Purdue,Arizona                                     1          NEEDS DECISION
Northwestern,Villanova,Syracuse                    1          NEEDS DECISION
USC,Utah                                           1          NEEDS DECISION
New Mexico,Angelo State (TX)                       1          NEEDS DECISION
San Diego St.,Long Beach St.                       1          NEEDS DECISION
Augsburg                                           1          NEEDS DECISION
Colorado,Oregon                                    1          NEEDS DECISION
Texas A&M-Kingsville,Central Oklahoma              1          NEEDS DECISION
Utah St.,Boise St.                                 1          NEEDS DECISION
Missouri,Western Illinois                          1          NEEDS DECISION
Texas-El Paso,Louisiana Tech                       1          NEEDS DECISION
Texas A&M,Texas Southern                           1          NEEDS DECISION
Jacksonville St.,Auburn                            1          NEEDS DECISION
Idaho,BYU                                          1          NEEDS DECISION
Grossmont College (CA),Eastern Illinois            1          NEEDS DECISION
Yankton,Wayne State (NE)                           1          NEEDS DECISION
Oklahoma,USC                                       1          NEEDS DECISION
UNLV,San Diego St.                                 1          NEEDS DECISION
Florida,Tulane                                     1          NEEDS DECISION
Oregon,Long Beach St.                              1          NEEDS DECISION
Alcorn St.,Mississippi St.                         1          NEEDS DECISION
